date,station,depth_m,temp_c,sal_psu,density_kg_per_m3,par,fluor_mg_per_m3,turbidity_ntu,O2_umol_per_kg,O2_pct_sat,ph
20240905,S4,90.196,7.6344,32.4976,25.3623,4.49E-05,0.092,1.7864,186.909,63.442,8.092
20240905,S4,90.417,7.6354,32.4994,25.3636,4.49E-05,0.092,1.7168,186.693,63.371,8.092
20240905,S4,90.691,7.642,32.5003,25.3634,4.49E-05,0.0948,1.7429,186.529,63.325,8.092
20240905,S4,90.959,7.659,32.5022,25.3624,4.49E-05,0.1076,1.9516,186.416,63.312,8.092
20240905,S4,91.207,7.6846,32.5133,25.3676,4.49E-05,0.1076,1.9516,186.332,63.325,8.093
20240905,S4,91.459,7.6988,32.5227,25.373,4.49E-05,0.1076,1.9052,186.384,63.367,8.094
20240905,S4,91.641,7.7035,32.5284,25.3768,4.49E-05,0.1067,1.9052,186.435,63.394,8.095
20240905,S4,91.675,7.7033,32.5297,25.3779,4.49E-05,0.1076,1.7806,186.37,63.372,8.096
20240905,S4,91.68,7.7034,32.5296,25.3777,4.49E-05,0.1085,1.7632,186.521,63.424,8.097
20240905,S4,91.811,7.7059,32.5317,25.3791,4.49E-05,0.1085,1.4819,186.861,63.544,8.098
20240905,S4,92.045,7.7075,32.5413,25.3864,4.49E-05,0.1085,1.3863,187.233,63.677,8.099
20240905,S4,92.311,7.705,32.5453,25.3899,4.49E-05,0.1076,1.5631,187.633,63.812,8.1
20240905,S4,92.561,7.7001,32.5492,25.3937,4.49E-05,0.1085,1.6675,187.909,63.9,8.101
20240905,S4,92.734,7.6903,32.5543,25.399,4.49E-05,0.1003,1.8096,188.136,63.965,8.102
20240905,S4,92.791,7.689,32.5536,25.3987,4.49E-05,0.0929,1.9516,188.239,63.998,8.103
20240905,S4,92.807,7.6873,32.5543,25.3994,4.49E-05,0.0993,1.769,188.093,63.946,8.103
20240905,S4,92.973,7.6853,32.556,25.4011,4.49E-05,0.1085,1.4819,187.906,63.881,8.103
20240905,S4,93.338,7.6831,32.5586,25.4035,4.49E-05,0.1085,1.5747,187.761,63.83,8.104
20240905,S4,93.736,7.6642,32.568,25.4135,4.49E-05,0.1085,1.8588,187.75,63.803,8.104
20240905,S4,93.999,7.6581,32.5678,25.4142,4.49E-05,0.1067,1.8704,187.699,63.777,8.104
20240905,S4,94.148,7.6511,32.5689,25.416,4.49E-05,0.0929,1.9516,187.648,63.75,8.104
20240905,S4,94.252,7.6491,32.5692,25.4166,4.49E-05,0.0929,1.9516,187.723,63.773,8.104
